"","Trials","ProbR","ID","role","cond","reward","choise","partner.choise","sender.dec","receiver.dec","phase","onset","state","event","image_name"
"35",12,20,"s65B","sender","comp",0,1,1,"truth","trust","2",258.3069,"waiting",35,"s65B+beta+event_035+tlrc"
"36",12,20,"s65B","sender","comp",0,1,1,"truth","trust","FB",265.3069,"feedback",36,"s65B+beta+event_036+tlrc"
"37",13,80,"s65B","receiver","coop",100,2,2,"truth","trust","1",275.3263,"waiting",37,"s65B+beta+event_037+tlrc"
"38",13,80,"s65B","receiver","coop",100,2,2,"truth","trust","2",282.3263,"active",38,"s65B+beta+event_038+tlrc"
"39",13,80,"s65B","receiver","coop",100,2,2,"truth","trust","FB",289.3263,"feedback",39,"s65B+beta+event_039+tlrc"
"40",14,40,"s65B","receiver","comp",0,2,1,"truth","doubt","1",299.3443,"waiting",40,"s65B+beta+event_040+tlrc"
"41",14,40,"s65B","receiver","comp",0,2,1,"truth","doubt","2",306.3443,"active",41,"s65B+beta+event_041+tlrc"
"42",14,40,"s65B","receiver","comp",0,2,1,"truth","doubt","FB",313.3443,"feedback",42,"s65B+beta+event_042+tlrc"
"43",15,30,"s65B","sender","coop",100,1,1,"truth","trust","1",320.3625,"active",43,"s65B+beta+event_043+tlrc"
"44",15,30,"s65B","sender","coop",100,1,1,"truth","trust","2",327.3625,"waiting",44,"s65B+beta+event_044+tlrc"
"45",15,30,"s65B","sender","coop",100,1,1,"truth","trust","FB",334.3625,"feedback",45,"s65B+beta+event_045+tlrc"
"46",16,10,"s65B","sender","comp",150,2,2,"lie","trust","1",345.3821,"active",46,"s65B+beta+event_046+tlrc"
"47",16,10,"s65B","sender","comp",150,2,2,"lie","trust","2",352.3821,"waiting",47,"s65B+beta+event_047+tlrc"
"48",16,10,"s65B","sender","comp",150,2,2,"lie","trust","FB",359.3821,"feedback",48,"s65B+beta+event_048+tlrc"
"49",17,80,"s65B","receiver","coop",0,2,2,"truth","trust","1",369.3998,"waiting",49,"s65B+beta+event_049+tlrc"
"50",17,80,"s65B","receiver","coop",0,2,2,"truth","trust","2",376.3998,"active",50,"s65B+beta+event_050+tlrc"
"51",17,80,"s65B","receiver","coop",0,2,2,"truth","trust","FB",383.3998,"feedback",51,"s65B+beta+event_051+tlrc"
"52",18,75,"s65B","receiver","comp",150,2,2,"truth","trust","1",388.418,"waiting",52,"s65B+beta+event_052+tlrc"
"53",18,75,"s65B","receiver","comp",150,2,2,"truth","trust","2",395.418,"active",53,"s65B+beta+event_053+tlrc"
"54",18,75,"s65B","receiver","comp",150,2,2,"truth","trust","FB",402.418,"feedback",54,"s65B+beta+event_054+tlrc"
"55",19,65,"s65B","sender","coop",0,2,2,"truth","trust","1",410.4377,"active",55,"s65B+beta+event_055+tlrc"
"56",19,65,"s65B","sender","coop",0,2,2,"truth","trust","2",417.4377,"waiting",56,"s65B+beta+event_056+tlrc"
"57",19,65,"s65B","sender","coop",0,2,2,"truth","trust","FB",424.4377,"feedback",57,"s65B+beta+event_057+tlrc"
"58",20,60,"s65B","sender","comp",150,1,1,"lie","trust","1",434.4557,"active",58,"s65B+beta+event_058+tlrc"
"59",20,60,"s65B","sender","comp",150,1,1,"lie","trust","2",441.4557,"waiting",59,"s65B+beta+event_059+tlrc"
"60",20,60,"s65B","sender","comp",150,1,1,"lie","trust","FB",448.4557,"feedback",60,"s65B+beta+event_060+tlrc"
"61",21,90,"s65B","receiver","coop",100,2,2,"truth","trust","1",455.4749,"waiting",61,"s65B+beta+event_061+tlrc"
"62",21,90,"s65B","receiver","coop",100,2,2,"truth","trust","2",462.4749,"active",62,"s65B+beta+event_062+tlrc"
"63",21,90,"s65B","receiver","coop",100,2,2,"truth","trust","FB",469.4749,"feedback",63,"s65B+beta+event_063+tlrc"
"64",22,90,"s65B","receiver","comp",150,2,2,"truth","trust","1",477.4928,"waiting",64,"s65B+beta+event_064+tlrc"
"65",22,90,"s65B","receiver","comp",150,2,2,"truth","trust","2",484.4928,"active",65,"s65B+beta+event_065+tlrc"
"66",22,90,"s65B","receiver","comp",150,2,2,"truth","trust","FB",491.4928,"feedback",66,"s65B+beta+event_066+tlrc"
"67",23,15,"s65B","sender","coop",100,1,1,"truth","trust","1",499.5104,"active",67,"s65B+beta+event_067+tlrc"
"68",23,15,"s65B","sender","coop",100,1,1,"truth","trust","2",506.5104,"waiting",68,"s65B+beta+event_068+tlrc"
"69",23,15,"s65B","sender","coop",100,1,1,"truth","trust","FB",513.5104,"feedback",69,"s65B+beta+event_069+tlrc"
"70",24,25,"s65B","sender","comp",150,2,2,"lie","trust","1",521.5304,"active",70,"s65B+beta+event_070+tlrc"
"71",24,25,"s65B","sender","comp",150,2,2,"lie","trust","2",528.5304,"waiting",71,"s65B+beta+event_071+tlrc"
"72",24,25,"s65B","sender","comp",150,2,2,"lie","trust","FB",535.5304,"feedback",72,"s65B+beta+event_072+tlrc"
"73",25,70,"s65B","receiver","coop",100,2,2,"truth","trust","1",543.5483,"waiting",73,"s65B+beta+event_073+tlrc"
"74",25,70,"s65B","receiver","coop",100,2,2,"truth","trust","2",550.5483,"active",74,"s65B+beta+event_074+tlrc"
"75",25,70,"s65B","receiver","coop",100,2,2,"truth","trust","FB",557.5483,"feedback",75,"s65B+beta+event_075+tlrc"
"76",26,35,"s65B","receiver","comp",150,1,1,"truth","trust","1",563.5662,"waiting",76,"s65B+beta+event_076+tlrc"
"77",26,35,"s65B","receiver","comp",150,1,1,"truth","trust","2",570.5662,"active",77,"s65B+beta+event_077+tlrc"
"78",26,35,"s65B","receiver","comp",150,1,1,"truth","trust","FB",577.5662,"feedback",78,"s65B+beta+event_078+tlrc"
"79",27,40,"s65B","sender","coop",100,1,1,"truth","trust","1",583.586,"active",79,"s65B+beta+event_079+tlrc"
"80",27,40,"s65B","sender","coop",100,1,1,"truth","trust","2",590.586,"waiting",80,"s65B+beta+event_080+tlrc"
"81",27,40,"s65B","sender","coop",100,1,1,"truth","trust","FB",597.586,"feedback",81,"s65B+beta+event_081+tlrc"
"82",28,35,"s65B","sender","comp",150,1,2,"truth","doubt","1",604.6042,"active",82,"s65B+beta+event_082+tlrc"
"83",28,35,"s65B","sender","comp",150,1,2,"truth","doubt","2",611.6042,"waiting",83,"s65B+beta+event_083+tlrc"
"84",28,35,"s65B","sender","comp",150,1,2,"truth","doubt","FB",618.6042,"feedback",84,"s65B+beta+event_084+tlrc"
"85",29,40,"s65B","receiver","coop",100,1,1,"truth","trust","1",650.0002,"waiting",85,"s65B+beta+event_085+tlrc"
"86",29,40,"s65B","receiver","coop",100,1,1,"truth","trust","2",657.0002,"active",86,"s65B+beta+event_086+tlrc"
"87",29,40,"s65B","receiver","coop",100,1,1,"truth","trust","FB",664.0002,"feedback",87,"s65B+beta+event_087+tlrc"
"88",30,60,"s65B","receiver","comp",0,2,2,"truth","trust","1",670.021,"waiting",88,"s65B+beta+event_088+tlrc"
"89",30,60,"s65B","receiver","comp",0,2,2,"truth","trust","2",677.021,"active",89,"s65B+beta+event_089+tlrc"
"90",30,60,"s65B","receiver","comp",0,2,2,"truth","trust","FB",684.021,"feedback",90,"s65B+beta+event_090+tlrc"
"91",31,40,"s65B","sender","coop",0,1,1,"truth","trust","1",690.0433,"active",91,"s65B+beta+event_091+tlrc"
"92",31,40,"s65B","sender","coop",0,1,1,"truth","trust","2",697.0433,"waiting",92,"s65B+beta+event_092+tlrc"
"93",31,40,"s65B","sender","coop",0,1,1,"truth","trust","FB",704.0433,"feedback",93,"s65B+beta+event_093+tlrc"
"94",32,70,"s65B","sender","comp",0,2,2,"truth","trust","1",714.0639,"active",94,"s65B+beta+event_094+tlrc"
"95",32,70,"s65B","sender","comp",0,2,2,"truth","trust","2",721.0639,"waiting",95,"s65B+beta+event_095+tlrc"
"96",32,70,"s65B","sender","comp",0,2,2,"truth","trust","FB",728.0639,"feedback",96,"s65B+beta+event_096+tlrc"
"97",33,10,"s65B","receiver","coop",100,1,1,"truth","trust","1",736.0855,"waiting",97,"s65B+beta+event_097+tlrc"
"98",33,10,"s65B","receiver","coop",100,1,1,"truth","trust","2",743.0855,"active",98,"s65B+beta+event_098+tlrc"
"99",33,10,"s65B","receiver","coop",100,1,1,"truth","trust","FB",750.0855,"feedback",99,"s65B+beta+event_099+tlrc"
"100",34,25,"s65B","receiver","comp",150,1,1,"truth","trust","1",757.1267,"waiting",100,"s65B+beta+event_100+tlrc"
"101",34,25,"s65B","receiver","comp",150,1,1,"truth","trust","2",764.1267,"active",101,"s65B+beta+event_101+tlrc"
"102",34,25,"s65B","receiver","comp",150,1,1,"truth","trust","FB",771.1267,"feedback",102,"s65B+beta+event_102+tlrc"
"103",35,70,"s65B","sender","coop",100,2,2,"truth","trust","1",783.145,"active",103,"s65B+beta+event_103+tlrc"
"104",35,70,"s65B","sender","coop",100,2,2,"truth","trust","2",790.145,"waiting",104,"s65B+beta+event_104+tlrc"
"105",35,70,"s65B","sender","coop",100,2,2,"truth","trust","FB",797.145,"feedback",105,"s65B+beta+event_105+tlrc"
"106",36,35,"s65B","sender","comp",0,1,1,"truth","trust","1",805.164,"active",106,"s65B+beta+event_106+tlrc"
"107",36,35,"s65B","sender","comp",0,1,1,"truth","trust","2",812.164,"waiting",107,"s65B+beta+event_107+tlrc"
"108",36,35,"s65B","sender","comp",0,1,1,"truth","trust","FB",819.164,"feedback",108,"s65B+beta+event_108+tlrc"
"109",37,20,"s65B","receiver","coop",100,1,1,"truth","trust","1",827.1812,"waiting",109,"s65B+beta+event_109+tlrc"
"110",37,20,"s65B","receiver","coop",100,1,1,"truth","trust","2",834.1812,"active",110,"s65B+beta+event_110+tlrc"
"111",37,20,"s65B","receiver","coop",100,1,1,"truth","trust","FB",841.1812,"feedback",111,"s65B+beta+event_111+tlrc"
"112",38,80,"s65B","receiver","comp",0,1,2,"truth","doubt","1",850.1984,"waiting",112,"s65B+beta+event_112+tlrc"
"113",38,80,"s65B","receiver","comp",0,1,2,"truth","doubt","2",857.1984,"active",113,"s65B+beta+event_113+tlrc"
"114",38,80,"s65B","receiver","comp",0,1,2,"truth","doubt","FB",864.1984,"feedback",114,"s65B+beta+event_114+tlrc"
"115",39,90,"s65B","sender","coop",100,2,2,"truth","trust","1",872.2182,"active",115,"s65B+beta+event_115+tlrc"
"116",39,90,"s65B","sender","coop",100,2,2,"truth","trust","2",879.2182,"waiting",116,"s65B+beta+event_116+tlrc"
"117",39,90,"s65B","sender","coop",100,2,2,"truth","trust","FB",886.2182,"feedback",117,"s65B+beta+event_117+tlrc"
"118",40,30,"s65B","sender","comp",150,1,1,"truth","trust","1",893.2359,"active",118,"s65B+beta+event_118+tlrc"
"119",40,30,"s65B","sender","comp",150,1,1,"truth","trust","2",900.2359,"waiting",119,"s65B+beta+event_119+tlrc"
"120",40,30,"s65B","sender","comp",150,1,1,"truth","trust","FB",907.2359,"feedback",120,"s65B+beta+event_120+tlrc"
"121",41,75,"s65B","receiver","coop",0,2,2,"truth","trust","1",916.254,"waiting",121,"s65B+beta+event_121+tlrc"
"122",41,75,"s65B","receiver","coop",0,2,2,"truth","trust","2",923.254,"active",122,"s65B+beta+event_122+tlrc"
"123",41,75,"s65B","receiver","coop",0,2,2,"truth","trust","FB",930.254,"feedback",123,"s65B+beta+event_123+tlrc"
"124",42,85,"s65B","receiver","comp",150,2,2,"truth","trust","1",941.2738,"waiting",124,"s65B+beta+event_124+tlrc"
"125",42,85,"s65B","receiver","comp",150,2,2,"truth","trust","2",948.2738,"active",125,"s65B+beta+event_125+tlrc"
"126",42,85,"s65B","receiver","comp",150,2,2,"truth","trust","FB",955.2738,"feedback",126,"s65B+beta+event_126+tlrc"
"127",43,10,"s65B","sender","coop",100,1,1,"truth","trust","1",962.2917,"active",127,"s65B+beta+event_127+tlrc"
"128",43,10,"s65B","sender","coop",100,1,1,"truth","trust","2",969.2917,"waiting",128,"s65B+beta+event_128+tlrc"
"129",43,10,"s65B","sender","coop",100,1,1,"truth","trust","FB",976.2917,"feedback",129,"s65B+beta+event_129+tlrc"
"130",44,85,"s65B","sender","comp",150,1,1,"lie","trust","1",984.3105,"active",130,"s65B+beta+event_130+tlrc"
"131",44,85,"s65B","sender","comp",150,1,1,"lie","trust","2",991.3105,"waiting",131,"s65B+beta+event_131+tlrc"
"132",44,85,"s65B","sender","comp",150,1,1,"lie","trust","FB",998.3105,"feedback",132,"s65B+beta+event_132+tlrc"
"133",45,15,"s65B","receiver","coop",100,1,1,"truth","trust","1",1007.3287,"waiting",133,"s65B+beta+event_133+tlrc"
"134",45,15,"s65B","receiver","coop",100,1,1,"truth","trust","2",1014.3287,"active",134,"s65B+beta+event_134+tlrc"
"135",45,15,"s65B","receiver","coop",100,1,1,"truth","trust","FB",1021.3287,"feedback",135,"s65B+beta+event_135+tlrc"
"136",46,65,"s65B","receiver","comp",150,2,2,"truth","trust","1",1030.3466,"waiting",136,"s65B+beta+event_136+tlrc"
"137",46,65,"s65B","receiver","comp",150,2,2,"truth","trust","2",1037.3466,"active",137,"s65B+beta+event_137+tlrc"
"138",46,65,"s65B","receiver","comp",150,2,2,"truth","trust","FB",1044.3466,"feedback",138,"s65B+beta+event_138+tlrc"
"139",47,25,"s65B","sender","coop",100,1,1,"truth","trust","1",1055.3663,"active",139,"s65B+beta+event_139+tlrc"
"140",47,25,"s65B","sender","coop",100,1,1,"truth","trust","2",1062.3663,"waiting",140,"s65B+beta+event_140+tlrc"
"141",47,25,"s65B","sender","coop",100,1,1,"truth","trust","FB",1069.3663,"feedback",141,"s65B+beta+event_141+tlrc"
"142",48,90,"s65B","sender","comp",0,2,2,"truth","trust","1",1074.3842,"active",142,"s65B+beta+event_142+tlrc"
"143",48,90,"s65B","sender","comp",0,2,2,"truth","trust","2",1081.3842,"waiting",143,"s65B+beta+event_143+tlrc"
"144",48,90,"s65B","sender","comp",0,2,2,"truth","trust","FB",1088.3842,"feedback",144,"s65B+beta+event_144+tlrc"
"145",49,65,"s65B","receiver","coop",100,2,2,"truth","trust","1",1097.4018,"waiting",145,"s65B+beta+event_145+tlrc"
"146",49,65,"s65B","receiver","coop",100,2,2,"truth","trust","2",1104.4018,"active",146,"s65B+beta+event_146+tlrc"
"147",49,65,"s65B","receiver","coop",100,2,2,"truth","trust","FB",1111.4018,"feedback",147,"s65B+beta+event_147+tlrc"
"148",50,15,"s65B","receiver","comp",0,2,1,"truth","doubt","1",1118.4221,"waiting",148,"s65B+beta+event_148+tlrc"
"149",50,15,"s65B","receiver","comp",0,2,1,"truth","doubt","2",1125.4221,"active",149,"s65B+beta+event_149+tlrc"
"150",50,15,"s65B","receiver","comp",0,2,1,"truth","doubt","FB",1132.4221,"feedback",150,"s65B+beta+event_150+tlrc"
"151",51,60,"s65B","sender","coop",0,2,0,"truth","doubt","1",1142.4407,"active",151,"s65B+beta+event_151+tlrc"
"152",51,60,"s65B","sender","coop",0,2,0,"truth","doubt","2",1149.4407,"waiting",152,"s65B+beta+event_152+tlrc"
"153",51,60,"s65B","sender","coop",0,2,0,"truth","doubt","FB",1156.4407,"feedback",153,"s65B+beta+event_153+tlrc"
"154",52,30,"s65B","sender","comp",150,2,2,"lie","trust","1",1166.4607,"active",154,"s65B+beta+event_154+tlrc"
"155",52,30,"s65B","sender","comp",150,2,2,"lie","trust","2",1173.4607,"waiting",155,"s65B+beta+event_155+tlrc"
"156",52,30,"s65B","sender","comp",150,2,2,"lie","trust","FB",1180.4607,"feedback",156,"s65B+beta+event_156+tlrc"
"157",53,75,"s65B","receiver","coop",100,2,2,"truth","trust","1",1190.4788,"waiting",157,"s65B+beta+event_157+tlrc"
"158",53,75,"s65B","receiver","coop",100,2,2,"truth","trust","2",1197.4788,"active",158,"s65B+beta+event_158+tlrc"
"159",53,75,"s65B","receiver","coop",100,2,2,"truth","trust","FB",1204.4788,"feedback",159,"s65B+beta+event_159+tlrc"
"160",54,80,"s65B","receiver","comp",0,1,2,"truth","doubt","1",1213.4975,"waiting",160,"s65B+beta+event_160+tlrc"
"161",54,80,"s65B","receiver","comp",0,1,2,"truth","doubt","2",1220.4975,"active",161,"s65B+beta+event_161+tlrc"
"162",54,80,"s65B","receiver","comp",0,1,2,"truth","doubt","FB",1227.4975,"feedback",162,"s65B+beta+event_162+tlrc"
"163",55,20,"s65B","sender","coop",100,1,1,"truth","trust","1",1236.5179,"active",163,"s65B+beta+event_163+tlrc"
"164",55,20,"s65B","sender","coop",100,1,1,"truth","trust","2",1243.5179,"waiting",164,"s65B+beta+event_164+tlrc"
"165",55,20,"s65B","sender","coop",100,1,1,"truth","trust","FB",1250.5179,"feedback",165,"s65B+beta+event_165+tlrc"
"166",56,35,"s65B","sender","comp",150,1,1,"truth","trust","1",1256.5374,"active",166,"s65B+beta+event_166+tlrc"
"167",56,35,"s65B","sender","comp",150,1,1,"truth","trust","2",1263.5374,"waiting",167,"s65B+beta+event_167+tlrc"
"168",56,35,"s65B","sender","comp",150,1,1,"truth","trust","FB",1270.5374,"feedback",168,"s65B+beta+event_168+tlrc"
"169",57,40,"s65B","receiver","coop",0,1,1,"truth","trust","1",1300.0002,"waiting",169,"s65B+beta+event_169+tlrc"
"170",57,40,"s65B","receiver","coop",0,1,1,"truth","trust","2",1307.0002,"active",170,"s65B+beta+event_170+tlrc"
"171",57,40,"s65B","receiver","coop",0,1,1,"truth","trust","FB",1314.0002,"feedback",171,"s65B+beta+event_171+tlrc"
"172",58,65,"s65B","receiver","comp",0,1,2,"truth","doubt","1",1320.0226,"waiting",172,"s65B+beta+event_172+tlrc"
"173",58,65,"s65B","receiver","comp",0,1,2,"truth","doubt","2",1327.0226,"active",173,"s65B+beta+event_173+tlrc"
"174",58,65,"s65B","receiver","comp",0,1,2,"truth","doubt","FB",1334.0226,"feedback",174,"s65B+beta+event_174+tlrc"
"175",59,10,"s65B","sender","coop",100,1,1,"truth","trust","1",1343.0447,"active",175,"s65B+beta+event_175+tlrc"
"176",59,10,"s65B","sender","coop",100,1,1,"truth","trust","2",1350.0447,"waiting",176,"s65B+beta+event_176+tlrc"
"177",59,10,"s65B","sender","coop",100,1,1,"truth","trust","FB",1357.0447,"feedback",177,"s65B+beta+event_177+tlrc"
"178",60,90,"s65B","sender","comp",0,2,2,"truth","trust","1",1366.0655,"active",178,"s65B+beta+event_178+tlrc"
"179",60,90,"s65B","sender","comp",0,2,2,"truth","trust","2",1373.0655,"waiting",179,"s65B+beta+event_179+tlrc"
"180",60,90,"s65B","sender","comp",0,2,2,"truth","trust","FB",1380.0655,"feedback",180,"s65B+beta+event_180+tlrc"
"181",61,40,"s65B","receiver","coop",100,1,1,"truth","trust","1",1389.0869,"waiting",181,"s65B+beta+event_181+tlrc"
"182",61,40,"s65B","receiver","coop",100,1,1,"truth","trust","2",1396.0869,"active",182,"s65B+beta+event_182+tlrc"
"183",61,40,"s65B","receiver","coop",100,1,1,"truth","trust","FB",1403.0869,"feedback",183,"s65B+beta+event_183+tlrc"
"184",62,70,"s65B","receiver","comp",0,1,2,"truth","doubt","1",1411.1286,"waiting",184,"s65B+beta+event_184+tlrc"
"185",62,70,"s65B","receiver","comp",0,1,2,"truth","doubt","2",1418.1286,"active",185,"s65B+beta+event_185+tlrc"
"186",62,70,"s65B","receiver","comp",0,1,2,"truth","doubt","FB",1425.1286,"feedback",186,"s65B+beta+event_186+tlrc"
"187",63,25,"s65B","sender","coop",100,1,1,"truth","trust","1",1435.1474,"active",187,"s65B+beta+event_187+tlrc"
"188",63,25,"s65B","sender","coop",100,1,1,"truth","trust","2",1442.1474,"waiting",188,"s65B+beta+event_188+tlrc"
"189",63,25,"s65B","sender","coop",100,1,1,"truth","trust","FB",1449.1474,"feedback",189,"s65B+beta+event_189+tlrc"
"190",64,65,"s65B","sender","comp",150,1,1,"lie","trust","1",1461.1653,"active",190,"s65B+beta+event_190+tlrc"
"191",64,65,"s65B","sender","comp",150,1,1,"lie","trust","2",1468.1653,"waiting",191,"s65B+beta+event_191+tlrc"
"192",64,65,"s65B","sender","comp",150,1,1,"lie","trust","FB",1475.1653,"feedback",192,"s65B+beta+event_192+tlrc"
"193",65,35,"s65B","receiver","coop",0,1,1,"truth","trust","1",1483.1827,"waiting",193,"s65B+beta+event_193+tlrc"
"194",65,35,"s65B","receiver","coop",0,1,1,"truth","trust","2",1490.1827,"active",194,"s65B+beta+event_194+tlrc"
"195",65,35,"s65B","receiver","coop",0,1,1,"truth","trust","FB",1497.1827,"feedback",195,"s65B+beta+event_195+tlrc"
"196",66,80,"s65B","receiver","comp",0,1,2,"truth","doubt","1",1504.2,"waiting",196,"s65B+beta+event_196+tlrc"
"197",66,80,"s65B","receiver","comp",0,1,2,"truth","doubt","2",1511.2,"active",197,"s65B+beta+event_197+tlrc"
"198",66,80,"s65B","receiver","comp",0,1,2,"truth","doubt","FB",1518.2,"feedback",198,"s65B+beta+event_198+tlrc"
"199",67,90,"s65B","sender","coop",100,2,2,"truth","trust","1",1529.2226,"active",199,"s65B+beta+event_199+tlrc"
"200",67,90,"s65B","sender","coop",100,2,2,"truth","trust","2",1536.2226,"waiting",200,"s65B+beta+event_200+tlrc"
"201",67,90,"s65B","sender","coop",100,2,2,"truth","trust","FB",1543.2226,"feedback",201,"s65B+beta+event_201+tlrc"
"202",68,85,"s65B","sender","comp",150,1,1,"lie","trust","1",1550.2402,"active",202,"s65B+beta+event_202+tlrc"
"203",68,85,"s65B","sender","comp",150,1,1,"lie","trust","2",1557.2402,"waiting",203,"s65B+beta+event_203+tlrc"
"204",68,85,"s65B","sender","comp",150,1,1,"lie","trust","FB",1564.2402,"feedback",204,"s65B+beta+event_204+tlrc"
"205",69,15,"s65B","receiver","coop",100,1,1,"truth","trust","1",1574.2587,"waiting",205,"s65B+beta+event_205+tlrc"
"206",69,15,"s65B","receiver","coop",100,1,1,"truth","trust","2",1581.2587,"active",206,"s65B+beta+event_206+tlrc"
"207",69,15,"s65B","receiver","coop",100,1,1,"truth","trust","FB",1588.2587,"feedback",207,"s65B+beta+event_207+tlrc"
"208",70,60,"s65B","receiver","comp",150,2,2,"truth","trust","1",1598.2762,"waiting",208,"s65B+beta+event_208+tlrc"
"209",70,60,"s65B","receiver","comp",150,2,2,"truth","trust","2",1605.2762,"active",209,"s65B+beta+event_209+tlrc"
"210",70,60,"s65B","receiver","comp",150,2,2,"truth","trust","FB",1612.2762,"feedback",210,"s65B+beta+event_210+tlrc"
"211",71,75,"s65B","sender","coop",100,2,2,"truth","trust","1",1619.2945,"active",211,"s65B+beta+event_211+tlrc"
"212",71,75,"s65B","sender","coop",100,2,2,"truth","trust","2",1626.2945,"waiting",212,"s65B+beta+event_212+tlrc"
"213",71,75,"s65B","sender","coop",100,2,2,"truth","trust","FB",1633.2945,"feedback",213,"s65B+beta+event_213+tlrc"
"214",72,20,"s65B","sender","comp",150,2,2,"lie","trust","1",1643.3146,"active",214,"s65B+beta+event_214+tlrc"
"215",72,20,"s65B","sender","comp",150,2,2,"lie","trust","2",1650.3146,"waiting",215,"s65B+beta+event_215+tlrc"
"216",72,20,"s65B","sender","comp",150,2,2,"lie","trust","FB",1657.3146,"feedback",216,"s65B+beta+event_216+tlrc"
"217",73,75,"s65B","receiver","coop",0,2,2,"truth","trust","1",1665.3328,"waiting",217,"s65B+beta+event_217+tlrc"
"218",73,75,"s65B","receiver","coop",0,2,2,"truth","trust","2",1672.3328,"active",218,"s65B+beta+event_218+tlrc"
