"","Trials","ProbR","ID","role","cond","reward","choise","partner.choise","sender.dec","receiver.dec","phase","onset","state","event","image_name"
"1",1,25,"s65B","receiver","coop",100,1,1,"truth","trust","1",0.0018,"waiting",1,"s65B+beta+event_001+tlrc"
"2",1,25,"s65B","receiver","coop",100,1,1,"truth","trust","2",7.0018,"active",2,"s65B+beta+event_002+tlrc"
"3",1,25,"s65B","receiver","coop",100,1,1,"truth","trust","FB",14.0018,"feedback",3,"s65B+beta+event_003+tlrc"
"4",2,30,"s65B","receiver","comp",150,1,1,"truth","trust","1",23.1022,"waiting",4,"s65B+beta+event_004+tlrc"
"5",2,30,"s65B","receiver","comp",150,1,1,"truth","trust","2",30.1022,"active",5,"s65B+beta+event_005+tlrc"
"6",2,30,"s65B","receiver","comp",150,1,1,"truth","trust","FB",37.1022,"feedback",6,"s65B+beta+event_006+tlrc"
"7",3,10,"s65B","sender","coop",0,1,1,"truth","trust","1",46.1446,"active",7,"s65B+beta+event_007+tlrc"
"8",3,10,"s65B","sender","coop",0,1,1,"truth","trust","2",53.1446,"waiting",8,"s65B+beta+event_008+tlrc"
"9",3,10,"s65B","sender","coop",0,1,1,"truth","trust","FB",60.1446,"feedback",9,"s65B+beta+event_009+tlrc"
"10",4,20,"s65B","sender","comp",0,2,1,"lie","doubt","1",69.1618,"active",10,"s65B+beta+event_010+tlrc"
"11",4,20,"s65B","sender","comp",0,2,1,"lie","doubt","2",76.1618,"waiting",11,"s65B+beta+event_011+tlrc"
"12",4,20,"s65B","sender","comp",0,2,1,"lie","doubt","FB",83.1618,"feedback",12,"s65B+beta+event_012+tlrc"
"13",5,75,"s65B","receiver","coop",100,2,2,"truth","trust","1",90.1795,"waiting",13,"s65B+beta+event_013+tlrc"
"14",5,75,"s65B","receiver","coop",100,2,2,"truth","trust","2",97.1795,"active",14,"s65B+beta+event_014+tlrc"
"15",5,75,"s65B","receiver","coop",100,2,2,"truth","trust","FB",104.1795,"feedback",15,"s65B+beta+event_015+tlrc"
"16",6,85,"s65B","receiver","comp",150,2,2,"truth","trust","1",113.1989,"waiting",16,"s65B+beta+event_016+tlrc"
"17",6,85,"s65B","receiver","comp",150,2,2,"truth","trust","2",120.1989,"active",17,"s65B+beta+event_017+tlrc"
"18",6,85,"s65B","receiver","comp",150,2,2,"truth","trust","FB",127.1989,"feedback",18,"s65B+beta+event_018+tlrc"
"19",7,65,"s65B","sender","coop",0,2,2,"truth","trust","1",133.2166,"active",19,"s65B+beta+event_019+tlrc"
"20",7,65,"s65B","sender","coop",0,2,2,"truth","trust","2",140.2166,"waiting",20,"s65B+beta+event_020+tlrc"
"21",7,65,"s65B","sender","coop",0,2,2,"truth","trust","FB",147.2166,"feedback",21,"s65B+beta+event_021+tlrc"
"22",8,85,"s65B","sender","comp",150,2,1,"truth","doubt","1",157.236,"active",22,"s65B+beta+event_022+tlrc"
"23",8,85,"s65B","sender","comp",150,2,1,"truth","doubt","2",164.236,"waiting",23,"s65B+beta+event_023+tlrc"
"24",8,85,"s65B","sender","comp",150,2,1,"truth","doubt","FB",171.236,"feedback",24,"s65B+beta+event_024+tlrc"
"25",9,70,"s65B","receiver","coop",0,2,2,"truth","trust","1",182.2534,"waiting",25,"s65B+beta+event_025+tlrc"
"26",9,70,"s65B","receiver","coop",0,2,2,"truth","trust","2",189.2534,"active",26,"s65B+beta+event_026+tlrc"
"27",9,70,"s65B","receiver","coop",0,2,2,"truth","trust","FB",196.2534,"feedback",27,"s65B+beta+event_027+tlrc"
"28",10,15,"s65B","receiver","comp",0,2,1,"truth","doubt","1",205.2709,"waiting",28,"s65B+beta+event_028+tlrc"
"29",10,15,"s65B","receiver","comp",0,2,1,"truth","doubt","2",212.2709,"active",29,"s65B+beta+event_029+tlrc"
"30",10,15,"s65B","receiver","comp",0,2,1,"truth","doubt","FB",219.2709,"feedback",30,"s65B+beta+event_030+tlrc"
"31",11,60,"s65B","sender","coop",100,2,2,"truth","trust","1",228.2898,"active",31,"s65B+beta+event_031+tlrc"
"32",11,60,"s65B","sender","coop",100,2,2,"truth","trust","2",235.2898,"waiting",32,"s65B+beta+event_032+tlrc"
"33",11,60,"s65B","sender","coop",100,2,2,"truth","trust","FB",242.2898,"feedback",33,"s65B+beta+event_033+tlrc"
"34",12,20,"s65B","sender","comp",0,1,1,"truth","trust","1",251.3069,"active",34,"s65B+beta+event_034+tlrc"
