"","Trials","ProbR","ID","role","cond","reward","choise","partner.choise","sender.dec","receiver.dec","phase","onset","state","event","image_name"
"44",15,30,"s53A","receiver","coop",100,1,1,"truth","trust","2",327.0799,"active",44,"s53A+beta+event_044+tlrc"
"45",15,30,"s53A","receiver","coop",100,1,1,"truth","trust","FB",334.0799,"feedback",45,"s53A+beta+event_045+tlrc"
"46",16,10,"s53A","receiver","comp",150,1,1,"truth","trust","1",345.0849,"waiting",46,"s53A+beta+event_046+tlrc"
"47",16,10,"s53A","receiver","comp",150,1,1,"truth","trust","2",352.0849,"active",47,"s53A+beta+event_047+tlrc"
"48",16,10,"s53A","receiver","comp",150,1,1,"truth","trust","FB",359.0849,"feedback",48,"s53A+beta+event_048+tlrc"
"49",17,80,"s53A","sender","coop",0,2,2,"truth","trust","1",369.0905,"active",49,"s53A+beta+event_049+tlrc"
"50",17,80,"s53A","sender","coop",0,2,2,"truth","trust","2",376.0905,"waiting",50,"s53A+beta+event_050+tlrc"
"51",17,80,"s53A","sender","coop",0,2,2,"truth","trust","FB",383.0905,"feedback",51,"s53A+beta+event_051+tlrc"
"52",18,75,"s53A","sender","comp",150,1,1,"lie","trust","1",388.0952,"active",52,"s53A+beta+event_052+tlrc"
"53",18,75,"s53A","sender","comp",150,1,1,"lie","trust","2",395.0952,"waiting",53,"s53A+beta+event_053+tlrc"
"54",18,75,"s53A","sender","comp",150,1,1,"lie","trust","FB",402.0952,"feedback",54,"s53A+beta+event_054+tlrc"
"55",19,65,"s53A","receiver","coop",0,2,2,"truth","trust","1",410.1,"waiting",55,"s53A+beta+event_055+tlrc"
"56",19,65,"s53A","receiver","coop",0,2,2,"truth","trust","2",417.1,"active",56,"s53A+beta+event_056+tlrc"
"57",19,65,"s53A","receiver","coop",0,2,2,"truth","trust","FB",424.1,"feedback",57,"s53A+beta+event_057+tlrc"
"58",20,60,"s53A","receiver","comp",0,1,2,"truth","doubt","1",434.1053,"waiting",58,"s53A+beta+event_058+tlrc"
"59",20,60,"s53A","receiver","comp",0,1,2,"truth","doubt","2",441.1053,"active",59,"s53A+beta+event_059+tlrc"
"60",20,60,"s53A","receiver","comp",0,1,2,"truth","doubt","FB",448.1053,"feedback",60,"s53A+beta+event_060+tlrc"
"61",21,90,"s53A","sender","coop",100,2,2,"truth","trust","1",455.1106,"active",61,"s53A+beta+event_061+tlrc"
"62",21,90,"s53A","sender","coop",100,2,2,"truth","trust","2",462.1106,"waiting",62,"s53A+beta+event_062+tlrc"
"63",21,90,"s53A","sender","coop",100,2,2,"truth","trust","FB",469.1106,"feedback",63,"s53A+beta+event_063+tlrc"
"64",22,90,"s53A","sender","comp",0,1,2,"lie","doubt","1",477.1157,"active",64,"s53A+beta+event_064+tlrc"
"65",22,90,"s53A","sender","comp",0,1,2,"lie","doubt","2",484.1157,"waiting",65,"s53A+beta+event_065+tlrc"
"66",22,90,"s53A","sender","comp",0,1,2,"lie","doubt","FB",491.1157,"feedback",66,"s53A+beta+event_066+tlrc"
"67",23,15,"s53A","receiver","coop",100,1,1,"truth","trust","1",499.1213,"waiting",67,"s53A+beta+event_067+tlrc"
"68",23,15,"s53A","receiver","coop",100,1,1,"truth","trust","2",506.1213,"active",68,"s53A+beta+event_068+tlrc"
"69",23,15,"s53A","receiver","coop",100,1,1,"truth","trust","FB",513.1213,"feedback",69,"s53A+beta+event_069+tlrc"
"70",24,25,"s53A","receiver","comp",150,1,1,"truth","trust","1",521.1267,"waiting",70,"s53A+beta+event_070+tlrc"
"71",24,25,"s53A","receiver","comp",150,1,1,"truth","trust","2",528.1267,"active",71,"s53A+beta+event_071+tlrc"
"72",24,25,"s53A","receiver","comp",150,1,1,"truth","trust","FB",535.1267,"feedback",72,"s53A+beta+event_072+tlrc"
"73",25,70,"s53A","sender","coop",100,2,2,"truth","trust","1",543.1318,"active",73,"s53A+beta+event_073+tlrc"
"74",25,70,"s53A","sender","coop",100,2,2,"truth","trust","2",550.1318,"waiting",74,"s53A+beta+event_074+tlrc"
"75",25,70,"s53A","sender","coop",100,2,2,"truth","trust","FB",557.1318,"feedback",75,"s53A+beta+event_075+tlrc"
"76",26,35,"s53A","sender","comp",0,2,1,"lie","doubt","1",563.1373,"active",76,"s53A+beta+event_076+tlrc"
"77",26,35,"s53A","sender","comp",0,2,1,"lie","doubt","2",570.1373,"waiting",77,"s53A+beta+event_077+tlrc"
